12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	0	0
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	0	0
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	0	0
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
9	0	0
10	10	1
11	11	1
12	12	1
13	13	1
14	0	0
SFAC		1
1	1	1
2	2	1
3	3	1
4	4	1
5	0	0
6	0	0
7	7	1
8	8	1
